Date,Time,CO,PT08_S1,NMHC,C6H6,PT08_S2,NOx,PT08_S3,NO2,PT08_S4,PT08_S5,T,RH,AH
2005-02-16,17:00:00,1.6,1083,-200,7,856,252,720,148,1010,975,8.2,41.8,0.4563
2005-02-16,18:00:00,2.2,1143,-200,9.5,960,313,641,153,1110,1136,7.4,44.5,0.4582
2005-02-16,19:00:00,3.4,1288,-200,15.9,1178,433,539,171,1300,1434,7,43.4,0.4366
2005-02-16,20:00:00,5.6,1464,-200,24.7,1421,611,457,227,1542,1746,6.6,43.4,0.4241
2005-02-16,21:00:00,5.2,1341,-200,16.8,1204,626,534,251,1294,1592,5.9,44.3,0.4137
2005-02-16,22:00:00,2.8,1177,-200,10.7,1004,408,640,216,1111,1341,5,46.6,0.4099
2005-02-16,23:00:00,2.4,1089,-200,8.3,913,357,712,200,1016,1208,5.8,40.3,0.374
2005-02-17,0:00:00,2.7,1196,-200,11,1014,375,643,192,1101,1334,5.4,43.8,0.3945
2005-02-17,1:00:00,2.6,1107,-200,7.4,874,326,721,187,984,1208,5.7,42.1,0.3883
2005-02-17,2:00:00,2.3,1102,-200,7.9,897,326,715,173,1024,1196,5.7,42.1,0.3885
2005-02-17,3:00:00,1,993,-200,3.6,688,-200,847,-200,874,931,5.8,42.9,0.399
2005-02-17,4:00:00,0.6,912,-200,1.7,559,72,1016,64,837,656,5.7,46.6,0.4298
2005-02-17,5:00:00,0.5,883,-200,1,496,49,1140,46,804,478,6.9,45,0.4499
2005-02-17,6:00:00,0.5,893,-200,1.1,507,59,1111,51,794,489,6.9,42.2,0.4224
2005-02-17,7:00:00,1,1033,-200,4,711,220,893,115,935,893,6.4,43.8,0.423
2005-02-17,8:00:00,2.6,1222,-200,9.7,966,602,636,238,1134,1322,6.6,44.6,0.4383
2005-02-17,9:00:00,2.7,1190,-200,10.6,1000,485,624,202,1152,1280,7.7,42.1,0.444
2005-02-17,10:00:00,1.8,1035,-200,5.4,783,295,794,167,969,943,10.1,36.7,0.4536
2005-02-17,11:00:00,1.2,990,-200,3.9,705,217,873,139,913,772,9,41.4,0.4775
2005-02-17,12:00:00,1.3,1011,-200,4.4,732,236,830,147,944,826,8.7,42.5,0.4787
2005-02-17,13:00:00,1.4,1041,-200,5,763,196,790,130,1003,808,8.3,47.8,0.5238
2005-02-17,14:00:00,1.8,1086,-200,6.8,850,233,723,143,1072,901,8.9,45.5,0.5208
2005-02-17,15:00:00,1.3,1021,-200,4.8,755,207,807,143,980,763,8.9,46.1,0.5256
2005-02-17,16:00:00,1.4,1014,-200,5,761,198,806,136,972,722,9,44.9,0.5173
2005-02-17,17:00:00,1.4,1023,-200,5.2,771,212,807,143,982,735,9.3,42.3,0.4974
2005-02-17,18:00:00,2.4,1172,-200,10,977,280,657,177,1160,1047,8.4,45.2,0.4977
2005-02-17,19:00:00,2.8,1172,-200,11.1,1017,315,623,198,1185,1163,7.6,47.8,0.5013
2005-02-17,20:00:00,3.3,1219,-200,12.9,1081,378,590,200,1246,1244,7.4,47.2,0.4871
2005-02-17,21:00:00,2.5,1106,-200,7.8,891,320,708,191,1058,1025,7.4,46.9,0.4854
2005-02-17,22:00:00,2.1,1078,-200,6.3,824,265,759,169,1016,982,6.9,48.2,0.4832
2005-02-17,23:00:00,1.2,939,-200,2.8,637,129,960,106,883,607,7.1,47.9,0.4867
2005-02-18,0:00:00,1.2,975,-200,3.3,670,129,943,105,910,616,6.9,48.7,0.4874
2005-02-18,1:00:00,1.3,958,-200,3.1,660,172,935,130,905,654,6.8,48.2,0.4792
2005-02-18,2:00:00,1,921,-200,2.1,594,100,1025,82,867,479,6.3,49.6,0.4787
2005-02-18,3:00:00,0.8,931,-200,1.9,580,-200,983,-200,863,487,5.6,52.9,0.4855
2005-02-18,4:00:00,-200,874,-200,0.7,472,49,1179,45,803,382,6.4,49.8,0.4814
2005-02-18,5:00:00,0.4,872,-200,0.8,476,36,1249,35,794,350,6.9,48.1,0.4796
2005-02-18,6:00:00,0.5,904,-200,1.3,530,79,1079,60,846,438,6.4,50.2,0.485
2005-02-18,7:00:00,0.7,951,-200,1.8,568,128,1021,90,888,578,6.4,50.7,0.4886
2005-02-18,8:00:00,2.1,1183,-200,7.9,896,456,673,205,1115,1140,6.9,48.8,0.4903
2005-02-18,9:00:00,2.5,1187,-200,9.8,970,477,625,199,1174,1203,8.4,44.6,0.4922
2005-02-18,10:00:00,2,1072,-200,7.4,874,342,715,153,1033,1000,10.8,37.1,0.4794
2005-02-18,11:00:00,1.4,1011,-200,5.3,780,254,805,163,964,806,11.2,36.2,0.4818
2005-02-18,12:00:00,1.3,997,-200,4.8,752,231,837,152,952,724,11.8,34.4,0.4758
2005-02-18,13:00:00,1.4,989,-200,5.6,791,213,804,146,953,690,11.5,33.1,0.4479
2005-02-18,14:00:00,1.6,1006,-200,6.6,837,208,775,146,971,757,10.9,32.6,0.426
2005-02-18,15:00:00,1.7,1016,-200,6.7,845,270,771,134,987,818,11.3,31.7,0.4249
2005-02-18,16:00:00,1.8,1069,-200,8.4,918,276,724,164,1045,936,11.6,30.9,0.4223
2005-02-18,17:00:00,2.4,1109,-200,10.3,989,375,664,141,1096,1133,11.1,32.2,0.4243
2005-02-18,18:00:00,2.8,1182,-200,12.6,1071,395,617,204,1187,1298,9.7,36,0.4333
2005-02-18,19:00:00,3.3,1253,-200,16,1179,421,573,210,1268,1387,8.5,39,0.4336
2005-02-18,20:00:00,4.8,1288,-200,17.6,1228,632,549,250,1333,1502,8.3,40.3,0.4411
2005-02-18,21:00:00,2.8,1153,-200,10.1,981,424,666,202,1097,1273,8,41.3,0.4448
2005-02-18,22:00:00,2.4,1161,-200,9.8,969,369,677,190,1111,1271,7,44.2,0.4446
2005-02-18,23:00:00,2.9,1271,-200,11.5,1031,484,618,236,1138,1464,5.4,51.8,0.4698
2005-02-19,0:00:00,2.7,1156,-200,8.2,909,456,684,250,1023,1384,4.1,55,0.4558
2005-02-19,1:00:00,2.1,1106,-200,6.8,850,373,727,219,997,1281,3.1,57.8,0.4462
2005-02-19,2:00:00,1.5,1008,-200,4.3,726,228,834,156,913,1083,3.1,56.7,0.4388
2005-02-19,3:00:00,1.2,966,-200,3.9,703,-200,865,-200,903,989,2.2,59.6,0.4333
2005-02-19,4:00:00,0.9,931,-200,2.6,627,117,948,98,860,911,2.3,58.9,0.4317
2005-02-19,5:00:00,0.8,922,-200,2.4,611,108,962,89,867,893,1.9,60,0.4276
2005-02-19,6:00:00,0.8,911,-200,2.3,606,126,950,104,866,894,1.9,60.3,0.4293
2005-02-19,7:00:00,1.1,993,-200,4.5,736,235,819,148,941,1018,0.9,64.6,0.4294
2005-02-19,8:00:00,1.9,1100,-200,8.5,919,339,678,194,1072,1191,0.6,65,0.4231
2005-02-19,9:00:00,2.5,1141,-200,9,940,399,651,231,1099,1285,2.1,59.9,0.4338
2005-02-19,10:00:00,2.2,1085,-200,5.7,800,346,750,200,983,1219,3.1,57.2,0.4402
2005-02-19,11:00:00,2.1,1153,-200,6.9,853,407,696,217,1027,1370,4.2,54,0.4483
2005-02-19,12:00:00,2.3,1122,-200,6.4,831,393,722,210,982,1317,7.4,43.8,0.4538
2005-02-19,13:00:00,1.2,992,-200,3.5,685,166,890,126,902,818,11.2,34.5,0.4586
2005-02-19,14:00:00,1.2,1018,-200,3.7,693,157,868,118,937,683,13.8,32.4,0.5084
2005-02-19,15:00:00,1.1,981,-200,2.9,649,141,924,114,901,573,12.4,34.9,0.5002
2005-02-19,16:00:00,1.1,988,-200,3.4,679,144,905,117,911,595,12.8,31.9,0.4684
2005-02-19,17:00:00,1.4,1059,-200,5.3,777,191,797,140,969,774,13.5,29.1,0.4486
2005-02-19,18:00:00,1.7,1110,-200,7.3,870,255,708,168,1057,1059,11.6,33.3,0.454
2005-02-19,19:00:00,2.5,1204,-200,10,979,379,639,202,1147,1326,10.9,34.9,0.4568
2005-02-19,20:00:00,2.7,1275,-200,12.3,1061,427,593,211,1203,1494,10.4,37.3,0.4708
2005-02-19,21:00:00,3.1,1297,-200,11.8,1044,509,600,231,1185,1559,9.7,39.7,0.4792
2005-02-19,22:00:00,2.8,1277,-200,10.4,991,459,609,214,1141,1575,9.1,41.9,0.4857
2005-02-19,23:00:00,1.9,1207,-200,7.7,888,293,664,181,1062,1447,9.3,41.9,0.4927
2005-02-20,0:00:00,1.9,1222,-200,7.5,880,269,684,173,1083,1367,9.4,44.7,0.5279
2005-02-20,1:00:00,1.7,1141,-200,6.1,816,244,745,169,1026,1230,8.5,45.8,0.5108
2005-02-20,2:00:00,2.2,1228,-200,8.3,913,293,643,174,1124,1396,7.8,50,0.53
2005-02-20,3:00:00,1.6,1120,-200,5.1,770,-200,756,-200,1012,1191,7.7,49.7,0.5242
2005-02-20,4:00:00,1.5,1067,-200,4.9,758,177,775,130,993,1009,8.2,46.9,0.5099
2005-02-20,5:00:00,0.8,947,-200,1.9,580,81,978,72,894,572,8.4,48.6,0.5375
2005-02-20,6:00:00,0.5,918,-200,1,501,42,1148,40,881,420,8,54.7,0.5883
2005-02-20,7:00:00,0.5,920,-200,1.1,506,61,1142,56,905,453,7.8,55.7,0.5914
2005-02-20,8:00:00,0.7,941,-200,1.5,541,101,1065,81,919,520,8,53.8,0.5796
2005-02-20,9:00:00,0.7,949,-200,1.6,552,98,1035,81,919,531,8.8,50.7,0.5752
2005-02-20,10:00:00,0.9,990,-200,2.3,604,114,944,88,947,579,10.1,47.6,0.587
2005-02-20,11:00:00,1,996,-200,2.5,620,118,928,94,946,570,10.6,45.8,0.5838
2005-02-20,12:00:00,1.1,1023,-200,2.5,623,120,916,97,976,571,9.1,56.2,0.6515
2005-02-20,13:00:00,1.1,1037,-200,2.8,636,151,891,112,1024,582,7.9,66.5,0.7124
2005-02-20,14:00:00,1,1017,-200,2.4,613,131,919,104,1007,551,8,65,0.6991
2005-02-20,15:00:00,1.1,1042,-200,3.3,671,145,861,107,1038,634,8.4,61,0.6721
2005-02-20,16:00:00,1.3,1037,-200,3.2,665,156,854,114,1013,633,8.6,57.3,0.6429
2005-02-20,17:00:00,1.2,1009,-200,2.8,640,151,915,115,996,613,8.4,56.3,0.6227
2005-02-20,18:00:00,1.3,1033,-200,3.4,675,173,853,127,1006,702,8,57.7,0.6222
2005-02-20,19:00:00,1.1,1016,-200,2.9,647,154,906,119,997,649,7.1,62.6,0.6341
2005-02-20,20:00:00,1.5,1076,-200,4.6,745,221,801,149,1040,841,7.4,59.3,0.6123
2005-02-20,21:00:00,1.4,1029,-200,3.8,699,193,851,140,1001,795,7.7,56.9,0.5994
2005-02-20,22:00:00,1.1,984,-200,3.1,661,130,898,105,965,638,7.7,54.4,0.5753
2005-02-20,23:00:00,1.3,1003,-200,3.7,694,156,876,116,976,663,7.7,53,0.5572
2005-02-21,0:00:00,1.4,1009,-200,3.3,671,148,877,112,1010,610,6.7,62.8,0.6188
2005-02-21,1:00:00,1.1,946,-200,2.1,588,93,1005,80,948,480,6.6,61.9,0.6056
2005-02-21,2:00:00,0.8,910,-200,1.2,518,66,1130,59,936,404,5.7,70.3,0.6498
2005-02-21,3:00:00,0.6,886,-200,0.7,464,-200,1273,-200,919,357,4.5,79.2,0.6751
2005-02-21,4:00:00,-200,879,-200,0.5,447,38,1317,36,910,348,4,81.5,0.6712
2005-02-21,5:00:00,0.5,907,-200,1,502,50,1129,49,947,399,3.9,81.5,0.6653
2005-02-21,6:00:00,0.6,949,-200,2.1,589,77,987,63,1001,464,3.3,84.3,0.6617
2005-02-21,7:00:00,1.2,1054,-200,5.5,786,183,766,123,1129,699,4.2,80.9,0.6742
2005-02-21,8:00:00,2.2,1214,-200,10.9,1010,256,609,164,1282,1006,5.1,75,0.6646
2005-02-21,9:00:00,2.9,1253,-200,13.3,1095,355,566,218,1375,1206,4.6,77.6,0.6651
2005-02-21,10:00:00,2.9,1197,-200,9.6,964,491,614,254,1260,1122,3.8,84.3,0.6811
2005-02-21,11:00:00,2,1156,-200,7,859,387,684,210,1196,1069,6.2,77.4,0.7383
2005-02-21,12:00:00,1.7,1132,-200,6.6,837,384,694,208,1199,1062,7.7,67.6,0.7133
2005-02-21,13:00:00,2.2,1207,-200,9.3,950,368,623,204,1303,1162,8.1,64.8,0.7039
2005-02-21,14:00:00,1.8,1127,-200,7.9,896,258,664,172,1227,1010,8.1,64,0.6942
2005-02-21,15:00:00,1.6,1112,-200,6.9,851,231,694,157,1184,931,6.9,71.3,0.7118
2005-02-21,16:00:00,1.9,1186,-200,8.6,925,290,641,181,1272,1025,7,73.7,0.7425
2005-02-21,17:00:00,2.2,1192,-200,10,976,335,618,194,1290,1110,7.3,70,0.7195
2005-02-21,18:00:00,2.2,1177,-200,8.8,931,293,656,193,1281,979,5.8,77.8,0.7223
2005-02-21,19:00:00,4.9,1478,-200,20.2,1301,526,469,252,1682,1409,5.4,80.9,0.7293
2005-02-21,20:00:00,6.3,1486,-200,19.7,1289,607,466,283,1633,1438,5.5,79.8,0.7261
2005-02-21,21:00:00,2.7,1118,-200,7.1,863,326,680,208,1194,1083,5.6,74,0.6808
2005-02-21,22:00:00,1.4,1019,-200,4.4,730,188,811,143,1082,916,5.6,71.9,0.6604
2005-02-21,23:00:00,1.2,961,-200,2.9,643,163,914,124,1046,825,6.4,70.7,0.6848
2005-02-22,0:00:00,0.8,931,-200,2.1,591,102,1015,89,1015,704,6.3,70.1,0.6733
2005-02-22,1:00:00,0.8,938,-200,2.1,592,95,992,85,1032,668,4.4,80.5,0.6825
2005-02-22,2:00:00,0.7,888,-200,1.1,511,71,1112,66,963,512,3.9,83.1,0.6787
2005-02-22,3:00:00,0.4,844,-200,0.6,454,-200,1327,-200,908,385,2.5,86.6,0.6407
2005-02-22,4:00:00,0.4,851,-200,0.5,440,46,1349,46,918,377,3.4,85.4,0.6736
2005-02-22,5:00:00,0.5,905,-200,1,503,62,1152,60,956,467,3.3,84.5,0.6608
2005-02-22,6:00:00,0.9,987,-200,2.6,628,170,929,117,1035,691,3.4,84.5,0.664
2005-02-22,7:00:00,1.5,1124,-200,6.7,842,313,690,178,1180,981,3.4,84.5,0.6677
2005-02-22,8:00:00,3.8,1408,-200,16.7,1200,687,490,295,1523,1369,4.1,82.7,0.682
2005-02-22,9:00:00,5.4,1501,-200,24,1403,757,418,243,1789,1589,4.6,80.3,0.6889
2005-02-22,10:00:00,3.5,1266,-200,15,1149,559,528,255,1435,1370,6.1,74,0.7025
2005-02-22,11:00:00,1.7,1082,-200,6.9,855,286,725,201,1140,1005,9.1,58.4,0.6787
2005-02-22,12:00:00,2,1123,-200,9.1,942,324,653,208,1225,1105,11.4,48.9,0.658
2005-02-22,13:00:00,2.1,1174,-200,10,979,316,611,212,1282,1142,8.3,64.4,0.7072
2005-02-22,14:00:00,3,1209,-200,12.9,1082,407,573,238,1355,1105,6.5,71,0.6903
2005-02-22,15:00:00,2.1,1120,-200,9,940,305,657,201,1245,917,6.6,71.1,0.6973
2005-02-22,16:00:00,2.5,1174,-200,10.9,1010,360,613,218,1305,1050,7.4,69.3,0.7165
2005-02-22,17:00:00,2.2,1068,-200,7.9,896,339,702,222,1177,848,6.4,70.6,0.6834
2005-02-22,18:00:00,2.4,1146,-200,10.2,985,304,650,206,1236,952,5.8,72.5,0.6718
2005-02-22,19:00:00,3.6,1204,-200,13.2,1089,397,601,251,1335,1059,5.6,71.6,0.6556
2005-02-22,20:00:00,2.6,1062,-200,8.1,903,270,717,190,1141,720,4.2,77.8,0.6491
2005-02-22,21:00:00,2.7,1122,-200,8.5,919,339,680,218,1201,981,4.3,79.5,0.6648
2005-02-22,22:00:00,1.4,940,-200,3.6,686,190,903,150,1005,648,4.5,75.5,0.6429
2005-02-22,23:00:00,0.9,935,-200,2.6,628,126,995,111,986,611,4.4,77.1,0.6523
2005-02-23,0:00:00,1.5,1011,-200,4.3,725,189,852,142,1050,773,4.2,78.2,0.6506
2005-02-23,1:00:00,1.1,952,-200,3.2,665,146,907,119,1007,703,4,79.3,0.6517
2005-02-23,2:00:00,0.8,899,-200,1.8,572,98,1063,87,951,560,3.9,78.7,0.643
2005-02-23,3:00:00,0.6,880,-200,1.4,533,-200,1161,-200,948,499,3.5,80.6,0.6403
2005-02-23,4:00:00,0.6,882,-200,1.2,516,75,1132,70,959,575,3.2,82.8,0.6426
2005-02-23,5:00:00,0.6,844,-200,0.7,466,77,1261,68,894,478,4.1,76,0.6304
2005-02-23,6:00:00,0.6,860,-200,1,497,72,1251,66,912,442,4.2,75.9,0.6311
2005-02-23,7:00:00,0.7,917,-200,2.2,597,152,1084,117,994,602,4.5,76.3,0.648
2005-02-23,8:00:00,1.7,1126,-200,7.7,886,337,719,197,1208,936,4.4,79.1,0.6687
2005-02-23,9:00:00,1.9,1033,-200,6.2,820,360,740,198,1114,870,4.3,79.8,0.6706
2005-02-23,10:00:00,1.4,944,-200,3.8,697,243,881,167,1022,688,3.1,83,0.6419
2005-02-23,11:00:00,1.3,955,-200,3.6,687,277,895,180,1004,706,2.8,83.9,0.6326
2005-02-23,12:00:00,1.2,992,-200,3.7,694,266,900,169,1020,756,3.9,79.5,0.6482
2005-02-23,13:00:00,1.9,1090,-200,8.3,910,317,701,210,1192,974,5.1,74.5,0.6621
2005-02-23,14:00:00,2.5,1151,-200,10.1,983,375,629,232,1244,1121,5.7,72.5,0.6686
2005-02-23,15:00:00,2.3,1148,-200,9.9,975,349,638,223,1243,1064,5.6,74.6,0.6826
2005-02-23,16:00:00,2.3,1140,-200,9.2,946,377,653,224,1231,1076,5.4,75.9,0.6875
2005-02-23,17:00:00,2.5,1160,-200,10.3,990,403,632,238,1254,1090,4.9,78.2,0.6826
2005-02-23,18:00:00,2.8,1167,-200,11.4,1027,422,610,249,1289,1119,4.8,79,0.6845
2005-02-23,19:00:00,2.7,1194,-200,11.7,1038,388,605,223,1317,1181,4.8,78.6,0.6826
2005-02-23,20:00:00,3.1,1224,-200,12.6,1071,431,590,244,1331,1240,4.6,78.2,0.6686
2005-02-23,21:00:00,2.9,1209,-200,11.4,1028,425,619,243,1264,1254,4.2,79.7,0.6647
2005-02-23,22:00:00,2.6,1145,-200,9.6,962,391,657,226,1212,1192,4.3,78.9,0.6621
2005-02-23,23:00:00,1.5,1016,-200,4.6,744,231,825,167,1053,1020,4.2,77.9,0.6479
2005-02-24,0:00:00,1.6,1018,-200,4.7,750,248,831,172,1051,916,3.2,83,0.645
2005-02-24,1:00:00,1.1,937,-200,2.6,625,142,977,120,983,798,5.1,74.5,0.6626
2005-02-24,2:00:00,0.9,949,-200,2.9,647,117,956,100,1023,762,4,80.8,0.6666
2005-02-24,3:00:00,0.7,895,-200,1.5,545,-200,1080,-200,964,685,4.3,81,0.677
2005-02-24,4:00:00,-200,884,-200,1.3,528,96,1148,86,960,619,2.9,85.3,0.6503
2005-02-24,5:00:00,0.6,883,-200,1.2,518,87,1135,81,962,606,3.3,84.5,0.6612
2005-02-24,6:00:00,0.8,968,-200,3,652,197,937,131,1051,788,3.6,84.4,0.6724
2005-02-24,7:00:00,1.5,1071,-200,5.5,787,290,755,170,1146,947,3.8,83.8,0.6771
2005-02-24,8:00:00,3.1,1310,-200,12.9,1082,621,555,267,1400,1254,4.1,82.5,0.6819
2005-02-24,9:00:00,3.8,1332,-200,14.5,1132,645,522,269,1439,1352,3.9,83.9,0.6847
2005-02-24,10:00:00,2.7,1178,-200,9,939,573,640,244,1228,1165,4.1,83.9,0.6967
2005-02-24,11:00:00,1.8,1093,-200,6.5,836,414,728,232,1142,1025,4.6,82,0.6997
2005-02-24,12:00:00,1.4,1060,-200,5.4,784,314,770,196,1117,941,5.5,79.5,0.7238
2005-02-24,13:00:00,1.7,1121,-200,7.4,873,317,697,195,1206,1000,6.7,76.2,0.7519
2005-02-24,14:00:00,1.9,1118,-200,7.7,888,290,685,189,1223,962,7.9,69,0.7394
2005-02-24,15:00:00,2.2,1205,-200,10.7,1002,385,612,212,1299,1214,8.5,66.3,0.7387
2005-02-24,16:00:00,3,1274,-200,13.3,1094,507,537,267,1364,1428,7.6,70.8,0.7399
2005-02-24,17:00:00,3,1301,-200,13.2,1092,534,525,262,1388,1484,7.2,72.4,0.7372
2005-02-24,18:00:00,3.9,1405,-200,17.5,1224,601,468,270,1503,1658,6.7,74.2,0.7326
2005-02-24,19:00:00,4,1375,-200,17.7,1230,583,473,260,1522,1632,6.1,75.8,0.7184
2005-02-24,20:00:00,3.9,1367,-200,17.5,1225,551,485,265,1492,1628,6.3,74.9,0.7187
2005-02-24,21:00:00,3.5,1324,-200,14.1,1121,547,531,262,1399,1481,6,78,0.7345
2005-02-24,22:00:00,2.4,1170,-200,8.4,917,385,652,227,1218,1205,5.6,81.2,0.7443
2005-02-24,23:00:00,2.1,1169,-200,7.9,895,318,681,192,1201,1106,5.5,81.5,0.7393
2005-02-25,0:00:00,2.5,1181,-200,8.1,905,356,657,202,1215,1106,5.3,84.1,0.753
2005-02-25,1:00:00,2.1,1146,-200,7.1,860,326,692,189,1181,1092,5.2,83.9,0.7487
2005-02-25,2:00:00,1.5,1059,-200,5.2,773,233,767,157,1127,984,5.1,83.5,0.7416
2005-02-25,3:00:00,1.1,1010,-200,3.4,679,-200,854,-200,1046,889,5,82.9,0.73
2005-02-25,4:00:00,1,1007,-200,3.4,677,116,863,97,1053,848,5,82.5,0.7265
2005-02-25,5:00:00,0.8,932,-200,2.1,595,120,991,100,1025,771,5,82.8,0.7273
2005-02-25,6:00:00,1,998,-200,4.1,717,228,872,146,1095,895,5.2,80.7,0.7219
2005-02-25,7:00:00,1.4,1072,-200,6.1,819,303,751,175,1161,1003,5.3,80.2,0.7179
2005-02-25,8:00:00,3.6,1424,-200,18.7,1260,-200,494,-200,1568,1442,5.7,79.7,0.734
2005-02-25,9:00:00,5.8,1527,-200,27.9,1502,-200,411,-200,1868,1727,6.2,76.8,0.7355
2005-02-25,10:00:00,4.2,1364,-200,17.8,1234,529,504,190,1533,1606,8.3,67.4,0.7384
2005-02-25,11:00:00,3.3,1190,-200,11.8,1044,615,615,166,1324,1354,10.8,52.1,0.6746
2005-02-25,12:00:00,1.7,1021,-200,6.6,839,298,771,153,1084,914,13,40.3,0.6028
2005-02-25,13:00:00,2.1,1051,-200,8.4,914,317,707,167,1122,913,10.9,44.8,0.5849
2005-02-25,14:00:00,2.2,1021,-200,7.6,882,305,727,137,1097,847,11.5,42.1,0.5706
2005-02-25,15:00:00,1.8,1016,-200,6.7,842,253,762,140,1067,778,12.5,38.5,0.5568
2005-02-25,16:00:00,2,1040,-200,7.9,893,296,723,150,1104,835,12.6,38.5,0.5586
2005-02-25,17:00:00,2.3,1089,-200,8.4,916,293,710,152,1124,903,12.3,38.4,0.5488
2005-02-25,18:00:00,2.8,1148,-200,12.1,1054,353,631,177,1233,1157,10.2,43.1,0.5366
2005-02-25,19:00:00,3.4,1162,-200,12.6,1070,399,625,189,1229,1237,8.6,48.2,0.5385
2005-02-25,20:00:00,4,1197,-200,13.6,1102,454,609,195,1309,1253,7.8,50.8,0.5384
2005-02-25,21:00:00,2.3,1059,-200,8.1,905,356,735,179,1098,1130,7.3,52.8,0.5404
2005-02-25,22:00:00,2.7,1207,-200,11.2,1023,473,629,188,1233,1373,6.2,62.4,0.5958
2005-02-25,23:00:00,2.7,1188,-200,10.1,983,482,648,170,1193,1338,5.1,68.2,0.6033
2005-02-26,0:00:00,2.8,1153,-200,8.8,933,443,687,161,1133,1268,4.7,69,0.5936
2005-02-26,1:00:00,2.1,1061,-200,6.8,849,373,757,145,1063,1125,4,69.8,0.5756
2005-02-26,2:00:00,1.9,1028,-200,6.4,831,320,771,136,1063,1054,3.4,71.3,0.5626
2005-02-26,3:00:00,2.1,1082,-200,6.7,843,-200,729,-200,1061,1090,2.8,74,0.5591
2005-02-26,4:00:00,1.7,1037,-200,5.2,771,233,784,122,1004,1029,2.3,75.1,0.5514
2005-02-26,5:00:00,1.3,942,-200,3.6,688,161,897,115,947,882,3.8,66.2,0.5359
2005-02-26,6:00:00,0.9,904,-200,2.7,633,137,993,103,897,717,4.6,60.5,0.5173
2005-02-26,7:00:00,1,855,-200,1.9,578,144,1121,108,855,599,5.7,54.3,0.5022
2005-02-26,8:00:00,1,914,-200,3.9,705,182,966,124,926,687,6.2,51.3,0.488
2005-02-26,9:00:00,1.5,933,-200,4.1,714,227,899,133,927,706,6.7,49.5,0.4892
2005-02-26,10:00:00,1.5,942,-200,3.7,696,203,920,124,912,682,8.8,45,0.5114
2005-02-26,11:00:00,1.4,943,-200,3.6,688,179,924,116,909,629,9.6,43.5,0.5202
2005-02-26,12:00:00,2.4,959,-200,4.1,717,171,892,113,939,664,9.8,43.3,0.5238
2005-02-26,13:00:00,2.8,971,-200,4.5,739,181,868,117,972,664,9.9,43.5,0.53
2005-02-26,14:00:00,2.9,954,-200,4.5,735,175,863,118,953,630,9.8,44.1,0.5332
2005-02-26,15:00:00,2.6,929,-200,2.9,645,148,962,108,906,524,9.7,45.1,0.5417
2005-02-26,16:00:00,2.5,933,-200,3.1,660,132,955,98,911,488,9,47.3,0.542
2005-02-26,17:00:00,2.7,967,-200,3.9,704,162,888,117,961,609,7.4,56,0.5797
2005-02-26,18:00:00,2.8,987,-200,4.2,723,185,863,126,974,684,6.4,61.7,0.5956
2005-02-26,19:00:00,3,1003,-200,5.2,772,234,821,142,1008,788,6.8,58,0.5758
2005-02-26,20:00:00,3.7,1138,-200,10.2,986,275,663,157,1188,1030,7.3,56.7,0.5806
2005-02-26,21:00:00,3.5,1087,-200,8.1,903,272,713,161,1106,1026,7.2,56.7,0.579
2005-02-26,22:00:00,3.8,1129,-200,8.5,920,331,689,169,1139,1182,6.7,59.1,0.5848
2005-02-26,23:00:00,4.3,1191,-200,10.7,1005,347,637,166,1224,1284,5.9,62.1,0.5808
2005-02-27,0:00:00,4.8,1256,-200,11.5,1032,488,612,189,1230,1371,6.3,60.4,0.5811
2005-02-27,1:00:00,4.2,1171,-200,9.5,960,404,679,184,1121,1234,5.5,60.2,0.5458
2005-02-27,2:00:00,3.3,1016,-200,5.3,780,255,798,145,1004,1060,4.6,64.4,0.5525
2005-02-27,3:00:00,3,1035,-200,5.8,805,-200,790,-200,1022,1038,3.5,68.8,0.5458
